Month,District,population
2010-01,Manukau,366000.00
2010-01,NorthShore,283300.00
2010-01,Papakura,45600.00
2010-01,Rodney,54800.00
2010-01,Waitakere,158200.00
2010-02,AucklandCity,457766.67
2010-02,Franklin,65291.67
2010-02,Manukau,366375.00
2010-02,NorthShore,283666.67
2010-02,Papakura,45675.00
2010-02,Rodney,54883.33
2010-02,Waitakere,158383.33
2010-03,AucklandCity,458233.33
2010-03,Franklin,65383.33
2010-03,Manukau,366750.00
2010-03,NorthShore,284033.33
2010-03,Papakura,45750.00
2010-03,Rodney,54966.67
2010-03,Waitakere,158566.67
2010-04,AucklandCity,458700.00
2010-04,Franklin,65475.00
2010-04,Manukau,367125.00
2010-04,NorthShore,284400.00
2010-04,Papakura,45825.00
2010-04,Rodney,55050.00
2010-04,Waitakere,158750.00
2010-05,AucklandCity,459166.67
2010-05,Franklin,65566.67
2010-05,Manukau,367500.00
2010-05,NorthShore,284766.67
2010-05,Papakura,45900.00
2010-05,Rodney,55133.33
2010-05,Waitakere,158933.33
2010-06,AucklandCity,459633.33
2010-06,Franklin,65658.33
2010-06,Manukau,367875.00
2010-06,NorthShore,285133.33
2010-06,Papakura,45975.00
2010-06,Rodney,55216.67
2010-06,Waitakere,159116.67
2010-07,AucklandCity,460100.00
2010-07,Franklin,65750.00
2010-07,Manukau,368250.00
2010-07,NorthShore,285500.00
2010-07,Papakura,46050.00
2010-07,Rodney,55300.00
2010-07,Waitakere,159300.00
2010-08,AucklandCity,460566.67
2010-08,Franklin,65841.67
2010-08,Manukau,368625.00
2010-08,NorthShore,285866.67
2010-08,Papakura,46125.00
2010-08,Rodney,55383.33
2010-08,Waitakere,159483.33
2010-09,AucklandCity,461033.33
2010-09,Franklin,65933.33
2010-09,Manukau,369000.00
2010-09,NorthShore,286233.33
2010-09,Papakura,46200.00
2010-09,Rodney,55466.67
2010-09,Waitakere,159666.67
2010-10,AucklandCity,461500.00
2010-10,Franklin,66025.00
2010-10,Manukau,369375.00
2010-10,NorthShore,286600.00
2010-10,Papakura,46275.00
2010-10,Rodney,55550.00
2010-10,Waitakere,159850.00
2010-11,AucklandCity,461966.67
2010-11,Franklin,66116.67
2010-11,Manukau,369750.00
2010-11,NorthShore,286966.67
2010-11,Papakura,46350.00
2010-11,Rodney,55633.33
2010-11,Waitakere,160033.33
2010-12,AucklandCity,462433.33
2010-12,Franklin,66208.33
2010-12,Manukau,370125.00
2010-12,NorthShore,287333.33
2010-12,Papakura,46425.00
2010-12,Rodney,55716.67
2010-12,Waitakere,160216.67
2011-01,AucklandCity,462900.00
2011-01,Franklin,66300.00
2011-01,Manukau,370500.00
2011-01,NorthShore,287700.00
2011-01,Papakura,46500.00
2011-01,Rodney,55800.00
2011-01,Waitakere,160400.00
2011-02,AucklandCity,463241.67
2011-02,Franklin,66383.33
2011-02,Manukau,370841.67
2011-02,NorthShore,288050.00
2011-02,Papakura,46575.00
2011-02,Rodney,55875.00
2011-02,Waitakere,160550.00
2011-03,AucklandCity,463583.33
2011-03,Franklin,66466.67
2011-03,Manukau,371183.33
2011-03,NorthShore,288400.00
2011-03,Papakura,46650.00
2011-03,Rodney,55950.00
2011-03,Waitakere,160700.00
2011-04,AucklandCity,463925.00
2011-04,Franklin,66550.00
2011-04,Manukau,371525.00
2011-04,NorthShore,288750.00
2011-04,Papakura,46725.00
2011-04,Rodney,56025.00
2011-04,Waitakere,160850.00
2011-05,AucklandCity,464266.67
2011-05,Franklin,66633.33
2011-05,Manukau,371866.67
2011-05,NorthShore,289100.00
2011-05,Papakura,46800.00
2011-05,Rodney,56100.00
2011-05,Waitakere,161000.00
2011-06,AucklandCity,464608.33
2011-06,Franklin,66716.67
2011-06,Manukau,372208.33
2011-06,NorthShore,289450.00
2011-06,Papakura,46875.00
2011-06,Rodney,56175.00
2011-06,Waitakere,161150.00
2011-07,AucklandCity,464950.00
2011-07,Franklin,66800.00
2011-07,Manukau,372550.00
2011-07,NorthShore,289800.00
2011-07,Papakura,46950.00
2011-07,Rodney,56250.00
2011-07,Waitakere,161300.00
2011-08,AucklandCity,465291.67
2011-08,Franklin,66883.33
2011-08,Manukau,372891.67
2011-08,NorthShore,290150.00
2011-08,Papakura,47025.00
2011-08,Rodney,56325.00
2011-08,Waitakere,161450.00
2011-09,AucklandCity,465633.33
2011-09,Franklin,66966.67
2011-09,Manukau,373233.33
2011-09,NorthShore,290500.00
2011-09,Papakura,47100.00
2011-09,Rodney,56400.00
2011-09,Waitakere,161600.00
2011-10,AucklandCity,465975.00
2011-10,Franklin,67050.00
2011-10,Manukau,373575.00
2011-10,NorthShore,290850.00
2011-10,Papakura,47175.00
2011-10,Rodney,56475.00
2011-10,Waitakere,161750.00
2011-11,AucklandCity,466316.67
2011-11,Franklin,67133.33
2011-11,Manukau,373916.67
2011-11,NorthShore,291200.00
2011-11,Papakura,47250.00
2011-11,Rodney,56550.00
2011-11,Waitakere,161900.00
2011-12,AucklandCity,466658.33
2011-12,Franklin,67216.67
2011-12,Manukau,374258.33
2011-12,NorthShore,291550.00
2011-12,Papakura,47325.00
2011-12,Rodney,56625.00
2011-12,Waitakere,162050.00
2012-01,AucklandCity,467000.00
2012-01,Franklin,67300.00
2012-01,Manukau,374600.00
2012-01,NorthShore,291900.00
2012-01,Papakura,47400.00
2012-01,Rodney,56700.00
2012-01,Waitakere,162200.00
2012-02,AucklandCity,467391.67
2012-02,Franklin,67383.33
2012-02,Manukau,374850.00
2012-02,NorthShore,292266.67
2012-02,Papakura,47466.67
2012-02,Rodney,56750.00
2012-02,Waitakere,162366.67
2012-03,AucklandCity,467783.33
2012-03,Franklin,67466.67
2012-03,Manukau,375100.00
2012-03,NorthShore,292633.33
2012-03,Papakura,47533.33
2012-03,Rodney,56800.00
2012-03,Waitakere,162533.33
2012-04,AucklandCity,468175.00
2012-04,Franklin,67550.00
2012-04,Manukau,375350.00
2012-04,NorthShore,293000.00
2012-04,Papakura,47600.00
2012-04,Rodney,56850.00
2012-04,Waitakere,162700.00
2012-05,AucklandCity,468566.67
2012-05,Franklin,67633.33
2012-05,Manukau,375600.00
2012-05,NorthShore,293366.67
2012-05,Papakura,47666.67
2012-05,Rodney,56900.00
2012-05,Waitakere,162866.67
2012-06,AucklandCity,468958.33
2012-06,Franklin,67716.67
2012-06,Manukau,375850.00
2012-06,NorthShore,293733.33
2012-06,Papakura,47733.33
2012-06,Rodney,56950.00
2012-06,Waitakere,163033.33
2012-07,AucklandCity,469350.00
2012-07,Franklin,67800.00
2012-07,Manukau,376100.00
2012-07,NorthShore,294100.00
2012-07,Papakura,47800.00
2012-07,Rodney,57000.00
2012-07,Waitakere,163200.00
2012-08,AucklandCity,469741.67
2012-08,Franklin,67883.33
2012-08,Manukau,376350.00
2012-08,NorthShore,294466.67
2012-08,Papakura,47866.67
2012-08,Rodney,57050.00
2012-08,Waitakere,163366.67
2012-09,AucklandCity,470133.33
2012-09,Franklin,67966.67
2012-09,Manukau,376600.00
2012-09,NorthShore,294833.33
2012-09,Papakura,47933.33
2012-09,Rodney,57100.00
2012-09,Waitakere,163533.33
2012-10,AucklandCity,470525.00
2012-10,Franklin,68050.00
2012-10,Manukau,376850.00
2012-10,NorthShore,295200.00
2012-10,Papakura,48000.00
2012-10,Rodney,57150.00
2012-10,Waitakere,163700.00
2012-11,AucklandCity,470916.67
2012-11,Franklin,68133.33
2012-11,Manukau,377100.00
2012-11,NorthShore,295566.67
2012-11,Papakura,48066.67
2012-11,Rodney,57200.00
2012-11,Waitakere,163866.67
2012-12,AucklandCity,471308.33
2012-12,Franklin,68216.67
2012-12,Manukau,377350.00
2012-12,NorthShore,295933.33
2012-12,Papakura,48133.33
2012-12,Rodney,57250.00
2012-12,Waitakere,164033.33
2013-01,AucklandCity,471700.00
2013-01,Franklin,68300.00
2013-01,Manukau,377600.00
2013-01,NorthShore,296300.00
2013-01,Papakura,48200.00
2013-01,Rodney,57300.00
2013-01,Waitakere,164200.00
2013-02,AucklandCity,472225.00
2013-02,Franklin,68416.67
2013-02,Manukau,378241.67
2013-02,NorthShore,296725.00
2013-02,Papakura,48400.00
2013-02,Rodney,57416.67
2013-02,Waitakere,164450.00
2013-03,AucklandCity,472750.00
2013-03,Franklin,68533.33
2013-03,Manukau,378883.33
2013-03,NorthShore,297150.00
2013-03,Papakura,48600.00
2013-03,Rodney,57533.33
2013-03,Waitakere,164700.00
2013-04,AucklandCity,473275.00
2013-04,Franklin,68650.00
2013-04,Manukau,379525.00
2013-04,NorthShore,297575.00
2013-04,Papakura,48800.00
2013-04,Rodney,57650.00
2013-04,Waitakere,164950.00
2013-05,AucklandCity,473800.00
2013-05,Franklin,68766.67
2013-05,Manukau,380166.67
2013-05,NorthShore,298000.00
2013-05,Papakura,49000.00
2013-05,Rodney,57766.67
2013-05,Waitakere,165200.00
2013-06,AucklandCity,474325.00
2013-06,Franklin,68883.33
2013-06,Manukau,380808.33
2013-06,NorthShore,298425.00
2013-06,Papakura,49200.00
2013-06,Rodney,57883.33
2013-06,Waitakere,165450.00
2013-07,AucklandCity,474850.00
2013-07,Franklin,69000.00
2013-07,Manukau,381450.00
2013-07,NorthShore,298850.00
2013-07,Papakura,49400.00
2013-07,Rodney,58000.00
2013-07,Waitakere,165700.00
