Month,District,Scenario,feature,shap_value
2026-04-01,Waitakere,low,f_0,-0.002894524272666134
2026-05-01,AucklandCity,low,f_0,0.009870452182542159
2026-05-01,Franklin,low,f_0,-0.0015365095651203435
2026-05-01,Manukau,low,f_0,-0.003981674066607629
2026-05-01,NorthShore,low,f_0,-0.0020404071465703324
2026-05-01,Papakura,low,f_0,-0.0015569229681725277
2026-05-01,Rodney,low,f_0,-0.0019720616449568637
2026-05-01,Waitakere,low,f_0,-0.0028592828302443332
2026-06-01,AucklandCity,low,f_0,0.009863493499200397
2026-06-01,Franklin,low,f_0,-0.0015375662578446482
2026-06-01,Manukau,low,f_0,-0.004122336482550925
2026-06-01,NorthShore,low,f_0,-0.0018823427818232118
2026-06-01,Papakura,low,f_0,-0.00156459694282696
2026-06-01,Rodney,low,f_0,-0.0019755380046753016
2026-06-01,Waitakere,low,f_0,-0.0028789658216002837
2025-07-01,AucklandCity,base,f_1,0.00042621971932567447
2025-07-01,Franklin,base,f_1,-0.002277224164341401
2025-07-01,Manukau,base,f_1,0.00036378294625925975
2025-07-01,NorthShore,base,f_1,0.00041891467333249213
2025-07-01,Papakura,base,f_1,5.10615218435625e-05
2025-07-01,Rodney,base,f_1,0.00040099315515855114
2025-07-01,Waitakere,base,f_1,0.00029678464519395417
2025-08-01,AucklandCity,base,f_1,0.00047432417537568384
2025-08-01,Franklin,base,f_1,-0.0022739845587588675
2025-08-01,Manukau,base,f_1,0.0003961339559273773
2025-08-01,NorthShore,base,f_1,0.00046772835137033077
2025-08-01,Papakura,base,f_1,-2.24905293899855e-05
2025-08-01,Rodney,base,f_1,0.0004957845234404497
2025-08-01,Waitakere,base,f_1,0.00035340177265707904
2025-09-01,AucklandCity,base,f_1,0.00047080300959762857
2025-09-01,Franklin,base,f_1,-0.0023201826191892607
2025-09-01,Manukau,base,f_1,0.0004020869076037869
2025-09-01,NorthShore,base,f_1,0.0004626506344691426
2025-09-01,Papakura,base,f_1,-3.7829718097350185e-05
2025-09-01,Rodney,base,f_1,0.0004896287788694894
2025-09-01,Waitakere,base,f_1,0.00037587740644717447
2025-10-01,AucklandCity,base,f_1,0.00040974439330696704
2025-10-01,Franklin,base,f_1,-0.0016596032816113175
2025-10-01,Manukau,base,f_1,0.00033665087387324376
2025-10-01,NorthShore,base,f_1,0.00045086558051771924
2025-10-01,Papakura,base,f_1,-0.00036036878238848003
2025-10-01,Rodney,base,f_1,0.0005870950445510631
2025-10-01,Waitakere,base,f_1,0.00038650342759976696
2025-11-01,AucklandCity,base,f_1,0.0004122468838872569
2025-11-01,Franklin,base,f_1,-0.0016927375548415305
2025-11-01,Manukau,base,f_1,0.00034186268128339874
2025-11-01,NorthShore,base,f_1,0.0004543377874459525
2025-11-01,Papakura,base,f_1,-0.0003762052089181332
2025-11-01,Rodney,base,f_1,0.0005801244172449727
2025-11-01,Waitakere,base,f_1,0.00040625365823150617
2025-12-01,AucklandCity,base,f_1,0.0004121273386878825
2025-12-01,Franklin,base,f_1,-0.001744278874854184
2025-12-01,Manukau,base,f_1,0.0003402427935082029
2025-12-01,NorthShore,base,f_1,0.00045176294570647404
2025-12-01,Papakura,base,f_1,-0.00033754899526647564
2025-12-01,Rodney,base,f_1,0.0005862133435173189
2025-12-01,Waitakere,base,f_1,0.00037884558279578293
2026-01-01,AucklandCity,base,f_1,0.00042863394786295847
2026-01-01,Franklin,base,f_1,-0.0013429194486643664
2026-01-01,Manukau,base,f_1,0.0003535813287354073
2026-01-01,NorthShore,base,f_1,0.00043909827404905826
2026-01-01,Papakura,base,f_1,-0.0006181524166798596
2026-01-01,Rodney,base,f_1,0.0006735604530328687
2026-01-01,Waitakere,base,f_1,0.000394156405726009
2026-02-01,AucklandCity,base,f_1,0.0004428028048807459
2026-02-01,Franklin,base,f_1,-0.001328749911608497
2026-02-01,Manukau,base,f_1,0.00036328275689864465
2026-02-01,NorthShore,base,f_1,0.0004394706001162634
2026-02-01,Papakura,base,f_1,-0.0006523551519417853
2026-02-01,Rodney,base,f_1,0.0005764115806622568
2026-02-01,Waitakere,base,f_1,0.00038572664450827767
2026-03-01,AucklandCity,base,f_1,0.0004535861992877244
2026-03-01,Franklin,base,f_1,-0.0012537112750824833
2026-03-01,Manukau,base,f_1,0.0003784157415769727
2026-03-01,NorthShore,base,f_1,0.000525316791237356
2026-03-01,Papakura,base,f_1,-0.0007353332237148912
2026-03-01,Rodney,base,f_1,0.0005913606226402256
2026-03-01,Waitakere,base,f_1,0.0004078647627117322
2026-04-01,AucklandCity,base,f_1,0.0004604016677327503
2026-04-01,Franklin,base,f_1,-0.0010291657418971551
2026-04-01,Manukau,base,f_1,0.00041046451812184516
2026-04-01,NorthShore,base,f_1,0.000510574318444103
2026-04-01,Papakura,base,f_1,-0.0007394630622004744
2026-04-01,Rodney,base,f_1,0.0004936015876844928
2026-04-01,Waitakere,base,f_1,0.00037099740358833617
2026-05-01,AucklandCity,base,f_1,0.00043017873761792196
2026-05-01,Franklin,base,f_1,-0.0011185235736171605
2026-05-01,Manukau,base,f_1,0.0004072677223402986
2026-05-01,NorthShore,base,f_1,0.00046626305995958294
2026-05-01,Papakura,base,f_1,-0.0008025424525892373
2026-05-01,Rodney,base,f_1,0.0006002633747316878
2026-05-01,Waitakere,base,f_1,0.0003835785501529389
2026-06-01,AucklandCity,base,f_1,0.0004474220429733839
2026-06-01,Franklin,base,f_1,-0.0011215441323842918
2026-06-01,Manukau,base,f_1,0.0003814811079862169
2026-06-01,NorthShore,base,f_1,0.0004376488121988379
2026-06-01,Papakura,base,f_1,-0.0007649387667564388
