Month,District,Net_migration_monthly
2021-06,Manukau,-231.67
2021-06,NorthShore,-261.67
2021-06,Papakura,125.0
2021-06,Rodney,141.67
2021-06,Waitakere,-83.33
2021-07,AucklandCity,-949.17
2021-07,Franklin,77.5
2021-07,Manukau,-231.67
2021-07,NorthShore,-261.67
2021-07,Papakura,125.0
2021-07,Rodney,141.67
2021-07,Waitakere,-83.33
2021-08,AucklandCity,-949.17
2021-08,Franklin,77.5
2021-08,Manukau,-231.67
2021-08,NorthShore,-261.67
2021-08,Papakura,125.0
2021-08,Rodney,141.67
2021-08,Waitakere,-83.33
2021-09,AucklandCity,-949.17
2021-09,Franklin,77.5
2021-09,Manukau,-231.67
2021-09,NorthShore,-261.67
2021-09,Papakura,125.0
2021-09,Rodney,141.67
2021-09,Waitakere,-83.33
2021-10,AucklandCity,-949.17
2021-10,Franklin,77.5
2021-10,Manukau,-231.67
2021-10,NorthShore,-261.67
2021-10,Papakura,125.0
2021-10,Rodney,141.67
2021-10,Waitakere,-83.33
2021-11,AucklandCity,-949.17
2021-11,Franklin,77.5
2021-11,Manukau,-231.67
2021-11,NorthShore,-261.67
2021-11,Papakura,125.0
2021-11,Rodney,141.67
2021-11,Waitakere,-83.33
2021-12,AucklandCity,-949.17
2021-12,Franklin,77.5
2021-12,Manukau,-231.67
2021-12,NorthShore,-261.67
2021-12,Papakura,125.0
2021-12,Rodney,141.67
2021-12,Waitakere,-83.33
2022-01,AucklandCity,-1308.33
2022-01,Franklin,40.0
2022-01,Manukau,-336.67
2022-01,NorthShore,640.0
2022-01,Papakura,133.33
2022-01,Rodney,125.0
2022-01,Waitakere,-170.83
2022-02,AucklandCity,-1308.33
2022-02,Franklin,40.0
2022-02,Manukau,-336.67
2022-02,NorthShore,640.0
2022-02,Papakura,133.33
2022-02,Rodney,125.0
2022-02,Waitakere,-170.83
2022-03,AucklandCity,-1308.33
2022-03,Franklin,40.0
2022-03,Manukau,-336.67
2022-03,NorthShore,640.0
2022-03,Papakura,133.33
2022-03,Rodney,125.0
2022-03,Waitakere,-170.83
2022-04,AucklandCity,-1308.33
2022-04,Franklin,40.0
2022-04,Manukau,-336.67
2022-04,NorthShore,640.0
2022-04,Papakura,133.33
2022-04,Rodney,125.0
2022-04,Waitakere,-170.83
2022-05,AucklandCity,-1308.33
2022-05,Franklin,40.0
2022-05,Manukau,-336.67
2022-05,NorthShore,640.0
2022-05,Papakura,133.33
2022-05,Rodney,125.0
2022-05,Waitakere,-170.83
2022-06,AucklandCity,-1308.33
2022-06,Franklin,40.0
2022-06,Manukau,-336.67
2022-06,NorthShore,640.0
2022-06,Papakura,133.33
2022-06,Rodney,125.0
2022-06,Waitakere,-170.83
2022-07,AucklandCity,-1308.33
2022-07,Franklin,40.0
2022-07,Manukau,-336.67
2022-07,NorthShore,640.0
2022-07,Papakura,133.33
2022-07,Rodney,125.0
2022-07,Waitakere,-170.83
2022-08,AucklandCity,-1308.33
2022-08,Franklin,40.0
2022-08,Manukau,-336.67
2022-08,NorthShore,640.0
2022-08,Papakura,133.33
2022-08,Rodney,125.0
2022-08,Waitakere,-170.83
2022-09,AucklandCity,-1308.33
2022-09,Franklin,40.0
2022-09,Manukau,-336.67
2022-09,NorthShore,640.0
2022-09,Papakura,133.33
2022-09,Rodney,125.0
2022-09,Waitakere,-170.83
2022-10,AucklandCity,-1308.33
2022-10,Franklin,40.0
2022-10,Manukau,-336.67
2022-10,NorthShore,640.0
2022-10,Papakura,133.33
2022-10,Rodney,125.0
2022-10,Waitakere,-170.83
2022-11,AucklandCity,-1308.33
2022-11,Franklin,40.0
