Month,Scenario,District,Net_migration_monthly
2026-03-01,Low,Franklin,156.79965079365078
2026-03-01,Low,Manukau,156.79965079365078
2026-03-01,Low,NorthShore,156.79965079365078
2026-03-01,Low,Papakura,156.79965079365078
2026-03-01,Low,Rodney,156.79965079365078
2026-03-01,Low,Waitakere,156.79965079365078
2026-04-01,Low,AucklandCity,156.79965079365078
2026-04-01,Low,Franklin,156.79965079365078
2026-04-01,Low,Manukau,156.79965079365078
2026-04-01,Low,NorthShore,156.79965079365078
2026-04-01,Low,Papakura,156.79965079365078
2026-04-01,Low,Rodney,156.79965079365078
2026-04-01,Low,Waitakere,156.79965079365078
2026-05-01,Low,AucklandCity,156.79965079365078
2026-05-01,Low,Franklin,156.79965079365078
2026-05-01,Low,Manukau,156.79965079365078
2026-05-01,Low,NorthShore,156.79965079365078
2026-05-01,Low,Papakura,156.79965079365078
2026-05-01,Low,Rodney,156.79965079365078
2026-05-01,Low,Waitakere,156.79965079365078
2026-06-01,Low,AucklandCity,156.79965079365078
2026-06-01,Low,Franklin,156.79965079365078
2026-06-01,Low,Manukau,156.79965079365078
2026-06-01,Low,NorthShore,156.79965079365078
2026-06-01,Low,Papakura,156.79965079365078
2026-06-01,Low,Rodney,156.79965079365078
2026-06-01,Low,Waitakere,156.79965079365078
