Month,District,unemployment_rate
2020-12,Manukau,4.9
2020-12,NorthShore,4.9
2020-12,Papakura,4.9
2020-12,Rodney,4.9
2020-12,Waitakere,4.9
2021-01,AucklandCity,4.93
2021-01,Franklin,4.93
2021-01,Manukau,4.93
2021-01,NorthShore,4.93
2021-01,Papakura,4.93
2021-01,Rodney,4.93
2021-01,Waitakere,4.93
2021-02,AucklandCity,4.97
2021-02,Franklin,4.97
2021-02,Manukau,4.97
2021-02,NorthShore,4.97
2021-02,Papakura,4.97
2021-02,Rodney,4.97
2021-02,Waitakere,4.97
2021-03,AucklandCity,5.0
2021-03,Franklin,5.0
2021-03,Manukau,5.0
2021-03,NorthShore,5.0
2021-03,Papakura,5.0
2021-03,Rodney,5.0
2021-03,Waitakere,5.0
2021-04,AucklandCity,5.03
2021-04,Franklin,5.03
2021-04,Manukau,5.03
2021-04,NorthShore,5.03
2021-04,Papakura,5.03
2021-04,Rodney,5.03
2021-04,Waitakere,5.03
2021-05,AucklandCity,5.07
2021-05,Franklin,5.07
2021-05,Manukau,5.07
2021-05,NorthShore,5.07
2021-05,Papakura,5.07
2021-05,Rodney,5.07
2021-05,Waitakere,5.07
2021-06,AucklandCity,5.1
2021-06,Franklin,5.1
2021-06,Manukau,5.1
2021-06,NorthShore,5.1
2021-06,Papakura,5.1
2021-06,Rodney,5.1
2021-06,Waitakere,5.1
2021-07,AucklandCity,4.87
2021-07,Franklin,4.87
2021-07,Manukau,4.87
2021-07,NorthShore,4.87
2021-07,Papakura,4.87
2021-07,Rodney,4.87
2021-07,Waitakere,4.87
2021-08,AucklandCity,4.63
2021-08,Franklin,4.63
2021-08,Manukau,4.63
2021-08,NorthShore,4.63
2021-08,Papakura,4.63
2021-08,Rodney,4.63
2021-08,Waitakere,4.63
2021-09,AucklandCity,4.4
2021-09,Franklin,4.4
2021-09,Manukau,4.4
2021-09,NorthShore,4.4
2021-09,Papakura,4.4
2021-09,Rodney,4.4
2021-09,Waitakere,4.4
2021-10,AucklandCity,4.23
2021-10,Franklin,4.23
2021-10,Manukau,4.23
2021-10,NorthShore,4.23
2021-10,Papakura,4.23
2021-10,Rodney,4.23
2021-10,Waitakere,4.23
2021-11,AucklandCity,4.07
2021-11,Franklin,4.07
2021-11,Manukau,4.07
2021-11,NorthShore,4.07
2021-11,Papakura,4.07
2021-11,Rodney,4.07
2021-11,Waitakere,4.07
2021-12,AucklandCity,3.9
2021-12,Franklin,3.9
2021-12,Manukau,3.9
2021-12,NorthShore,3.9
2021-12,Papakura,3.9
2021-12,Rodney,3.9
2021-12,Waitakere,3.9
2022-01,AucklandCity,3.77
2022-01,Franklin,3.77
2022-01,Manukau,3.77
