Month,District,Consents
2022-05,Manukau,467.0
2022-05,NorthShore,294.0
2022-05,Papakura,159.0
2022-05,Rodney,107.0
2022-05,Waitakere,377.0
2022-06,AucklandCity,401.0
2022-06,Franklin,79.0
2022-06,Manukau,381.0
2022-06,NorthShore,377.0
2022-06,Papakura,167.0
2022-06,Rodney,111.0
2022-06,Waitakere,312.0
2022-07,AucklandCity,339.0
2022-07,Franklin,146.0
2022-07,Manukau,401.0
2022-07,NorthShore,300.0
2022-07,Papakura,216.0
2022-07,Rodney,136.0
2022-07,Waitakere,281.0
2022-08,AucklandCity,568.0
2022-08,Franklin,129.0
2022-08,Manukau,391.0
2022-08,NorthShore,370.0
2022-08,Papakura,114.0
2022-08,Rodney,100.0
2022-08,Waitakere,206.0
2022-09,AucklandCity,838.0
2022-09,Franklin,119.0
2022-09,Manukau,433.0
2022-09,NorthShore,225.0
2022-09,Papakura,162.0
2022-09,Rodney,131.0
2022-09,Waitakere,298.0
2022-10,AucklandCity,416.0
2022-10,Franklin,108.0
2022-10,Manukau,301.0
2022-10,NorthShore,145.0
2022-10,Papakura,126.0
2022-10,Rodney,112.0
2022-10,Waitakere,377.0
2022-11,AucklandCity,462.0
2022-11,Franklin,88.0
2022-11,Manukau,483.0
2022-11,NorthShore,334.0
2022-11,Papakura,166.0
2022-11,Rodney,144.0
2022-11,Waitakere,274.0
2022-12,AucklandCity,385.0
2022-12,Franklin,60.0
2022-12,Manukau,411.0
2022-12,NorthShore,140.0
2022-12,Papakura,69.0
2022-12,Rodney,63.0
2022-12,Waitakere,168.0
2023-01,AucklandCity,145.0
2023-01,Franklin,51.0
2023-01,Manukau,234.0
2023-01,NorthShore,312.0
2023-01,Papakura,75.0
2023-01,Rodney,108.0
2023-01,Waitakere,134.0
2023-02,AucklandCity,258.0
2023-02,Franklin,73.0
2023-02,Manukau,266.0
2023-02,NorthShore,311.0
2023-02,Papakura,146.0
2023-02,Rodney,129.0
2023-02,Waitakere,102.0
2023-03,AucklandCity,460.0
2023-03,Franklin,78.0
2023-03,Manukau,491.0
2023-03,NorthShore,258.0
2023-03,Papakura,169.0
2023-03,Rodney,77.0
2023-03,Waitakere,277.0
2023-04,AucklandCity,326.0
2023-04,Franklin,59.0
2023-04,Manukau,330.0
2023-04,NorthShore,199.0
2023-04,Papakura,183.0
2023-04,Rodney,39.0
2023-04,Waitakere,190.0
2023-05,AucklandCity,291.0
2023-05,Franklin,95.0
2023-05,Manukau,459.0
2023-05,NorthShore,178.0
2023-05,Papakura,125.0
2023-05,Rodney,49.0
2023-05,Waitakere,239.0
2023-06,AucklandCity,405.0
2023-06,Franklin,77.0
2023-06,Manukau,275.0
2023-06,NorthShore,219.0
2023-06,Papakura,121.0
2023-06,Rodney,83.0
2023-06,Waitakere,194.0
2023-07,AucklandCity,295.0
2023-07,Franklin,39.0
2023-07,Manukau,479.0
2023-07,NorthShore,300.0
2023-07,Papakura,122.0
2023-07,Rodney,69.0
2023-07,Waitakere,172.0
2023-08,AucklandCity,340.0
2023-08,Franklin,32.0
2023-08,Manukau,239.0
2023-08,NorthShore,148.0
2023-08,Papakura,101.0
2023-08,Rodney,75.0
2023-08,Waitakere,202.0
2023-09,AucklandCity,235.0
2023-09,Franklin,48.0
2023-09,Manukau,358.0
2023-09,NorthShore,251.0
2023-09,Papakura,69.0
2023-09,Rodney,70.0
2023-09,Waitakere,249.0
2023-10,AucklandCity,315.0
2023-10,Franklin,33.0
2023-10,Manukau,263.0
2023-10,NorthShore,210.0
2023-10,Papakura,81.0
2023-10,Rodney,58.0
2023-10,Waitakere,216.0
2023-11,AucklandCity,229.0
2023-11,Franklin,87.0
2023-11,Manukau,333.0
2023-11,NorthShore,148.0
2023-11,Papakura,79.0
2023-11,Rodney,80.0
2023-11,Waitakere,198.0
2023-12,AucklandCity,177.0
2023-12,Franklin,44.0
2023-12,Manukau,305.0
2023-12,NorthShore,146.0
2023-12,Papakura,60.0
2023-12,Rodney,58.0
2023-12,Waitakere,124.0
2024-01,AucklandCity,196.0
2024-01,Franklin,50.0
2024-01,Manukau,240.0
2024-01,NorthShore,160.0
2024-01,Papakura,47.0
2024-01,Rodney,47.0
2024-01,Waitakere,143.0
2024-02,AucklandCity,157.0
2024-02,Franklin,69.0
2024-02,Manukau,301.0
2024-02,NorthShore,210.0
2024-02,Papakura,138.0
2024-02,Rodney,169.0
2024-02,Waitakere,185.0
2024-03,AucklandCity,272.0
2024-03,Franklin,92.0
2024-03,Manukau,318.0
2024-03,NorthShore,241.0
2024-03,Papakura,111.0
2024-03,Rodney,81.0
2024-03,Waitakere,139.0
2024-04,AucklandCity,253.0
2024-04,Franklin,134.0
2024-04,Manukau,246.0
2024-04,NorthShore,242.0
2024-04,Papakura,70.0
2024-04,Rodney,82.0
2024-04,Waitakere,251.0
2024-05,AucklandCity,287.0
2024-05,Franklin,125.0
2024-05,Manukau,286.0
2024-05,NorthShore,296.0
2024-05,Papakura,71.0
2024-05,Rodney,69.0
2024-05,Waitakere,139.0
2024-06,AucklandCity,174.0
2024-06,Franklin,66.0
2024-06,Manukau,209.0
2024-06,NorthShore,104.0
2024-06,Papakura,61.0
2024-06,Rodney,47.0
2024-06,Waitakere,80.0
2024-07,AucklandCity,337.0
2024-07,Franklin,143.0
2024-07,Manukau,320.0
2024-07,NorthShore,163.0
2024-07,Papakura,67.0
2024-07,Rodney,134.0
2024-07,Waitakere,124.0
2024-08,AucklandCity,163.0
2024-08,Franklin,117.0
2024-08,Manukau,405.0
2024-08,NorthShore,238.0
2024-08,Papakura,84.0
2024-08,Rodney,91.0
2024-08,Waitakere,126.0
2024-09,AucklandCity,385.0
2024-09,Franklin,146.0
2024-09,Manukau,334.0
2024-09,NorthShore,130.0
2024-09,Papakura,108.0
2024-09,Rodney,78.0
2024-09,Waitakere,177.0
2024-10,AucklandCity,221.0
2024-10,Franklin,66.0
2024-10,Manukau,363.0
2024-10,NorthShore,174.0
2024-10,Papakura,82.0
2024-10,Rodney,96.0
2024-10,Waitakere,213.0
2024-11,AucklandCity,317.0
2024-11,Franklin,45.0
2024-11,Manukau,291.0
2024-11,NorthShore,280.0
2024-11,Papakura,55.0
2024-11,Rodney,68.0
2024-11,Waitakere,143.0
2024-12,AucklandCity,463.0
2024-12,Franklin,37.0
2024-12,Manukau,183.0
2024-12,NorthShore,127.0
2024-12,Papakura,32.0
2024-12,Rodney,38.0
2024-12,Waitakere,70.0
2025-01,AucklandCity,205.0
2025-01,Franklin,59.0
2025-01,Manukau,269.0
2025-01,NorthShore,168.0
2025-01,Papakura,53.0
2025-01,Rodney,28.0
2025-01,Waitakere,84.0
2025-02,AucklandCity,222.0
2025-02,Franklin,113.0
2025-02,Manukau,351.0
2025-02,NorthShore,163.0
2025-02,Papakura,61.0
