Month,District,weeklyrent
2009-03,NorthShore,386.75
2009-03,Papakura,318.0
2009-03,Rodney,332.0
2009-03,Waitakere,333.5
2009-04,AucklandCity,365.83
2009-04,Franklin,317.0
2009-04,Manukau,334.5
2009-04,NorthShore,386.75
2009-04,Papakura,318.0
2009-04,Rodney,332.0
2009-04,Waitakere,333.5
2009-05,AucklandCity,365.83
2009-05,Franklin,317.0
2009-05,Manukau,334.5
2009-05,NorthShore,386.75
2009-05,Papakura,318.0
2009-05,Rodney,332.0
2009-05,Waitakere,333.5
2009-06,AucklandCity,365.83
2009-06,Franklin,317.0
2009-06,Manukau,334.5
2009-06,NorthShore,386.75
2009-06,Papakura,318.0
2009-06,Rodney,332.0
2009-06,Waitakere,333.5
2009-07,AucklandCity,365.83
2009-07,Franklin,317.0
2009-07,Manukau,334.5
2009-07,NorthShore,386.75
2009-07,Papakura,318.0
2009-07,Rodney,332.0
2009-07,Waitakere,333.5
2009-08,AucklandCity,365.83
2009-08,Franklin,317.0
2009-08,Manukau,334.5
2009-08,NorthShore,386.75
2009-08,Papakura,318.0
2009-08,Rodney,332.0
2009-08,Waitakere,333.5
2009-09,AucklandCity,365.83
2009-09,Franklin,317.0
2009-09,Manukau,334.5
2009-09,NorthShore,386.75
2009-09,Papakura,318.0
2009-09,Rodney,332.0
2009-09,Waitakere,333.5
2009-10,AucklandCity,365.83
2009-10,Franklin,317.0
2009-10,Manukau,334.5
2009-10,NorthShore,386.75
2009-10,Papakura,318.0
2009-10,Rodney,332.0
2009-10,Waitakere,333.5
2009-11,AucklandCity,365.83
2009-11,Franklin,317.0
2009-11,Manukau,334.5
2009-11,NorthShore,386.75
2009-11,Papakura,318.0
2009-11,Rodney,332.0
2009-11,Waitakere,333.5
2009-12,AucklandCity,365.83
2009-12,Franklin,317.0
2009-12,Manukau,334.5
2009-12,NorthShore,386.75
2009-12,Papakura,318.0
2009-12,Rodney,332.0
2009-12,Waitakere,333.5
2010-01,AucklandCity,373.0
2010-01,Franklin,326.0
2010-01,Manukau,341.5
2010-01,NorthShore,389.25
2010-01,Papakura,320.0
2010-01,Rodney,336.0
2010-01,Waitakere,337.0
2010-02,AucklandCity,373.0
2010-02,Franklin,326.0
2010-02,Manukau,341.5
2010-02,NorthShore,389.25
2010-02,Papakura,320.0
2010-02,Rodney,336.0
2010-02,Waitakere,337.0
2010-03,AucklandCity,373.0
2010-03,Franklin,326.0
2010-03,Manukau,341.5
2010-03,NorthShore,389.25
2010-03,Papakura,320.0
2010-03,Rodney,336.0
2010-03,Waitakere,337.0
2010-04,AucklandCity,373.0
2010-04,Franklin,326.0
2010-04,Manukau,341.5
2010-04,NorthShore,389.25
2010-04,Papakura,320.0
