Month,District,Median_Price
2022-12,Waitakere,925000
2023-01,AucklandCity,985000
2023-01,Franklin,885000
2023-01,Manukau,938000
2023-01,NorthShore,1225000
2023-01,Papakura,768000
2023-01,Rodney,925000
2023-01,Waitakere,839000
2023-02,AucklandCity,1135000
2023-02,Franklin,805700
2023-02,Manukau,967500
2023-02,NorthShore,1230000
2023-02,Papakura,780000
2023-02,Rodney,1130000
2023-02,Waitakere,905000
2023-03,AucklandCity,1105000
2023-03,Franklin,885000
2023-03,Manukau,940000
2023-03,NorthShore,1145000
2023-03,Papakura,850000
2023-03,Rodney,1115000
2023-03,Waitakere,910000
2023-04,AucklandCity,1100000
2023-04,Franklin,830000
2023-04,Manukau,980000
2023-04,NorthShore,1140000
2023-04,Papakura,802342
2023-04,Rodney,1190000
2023-04,Waitakere,865000
2023-05,AucklandCity,1023111
2023-05,Franklin,940000
2023-05,Manukau,936500
2023-05,NorthShore,1150000
2023-05,Papakura,829000
2023-05,Rodney,1160000
2023-05,Waitakere,928000
2023-06,AucklandCity,1100000
2023-06,Franklin,820000
2023-06,Manukau,950000
2023-06,NorthShore,1203000
2023-06,Papakura,830000
2023-06,Rodney,1150000
2023-06,Waitakere,898000
2023-07,AucklandCity,942000
2023-07,Franklin,835000
2023-07,Manukau,990000
2023-07,NorthShore,1201888
2023-07,Papakura,830000
2023-07,Rodney,1182000
2023-07,Waitakere,900000
2023-08,AucklandCity,1100000
2023-08,Franklin,915000
2023-08,Manukau,945000
2023-08,NorthShore,1235000
2023-08,Papakura,835000
2023-08,Rodney,1120000
2023-08,Waitakere,885000
2023-09,AucklandCity,1100000
2023-09,Franklin,890000
2023-09,Manukau,985000
2023-09,NorthShore,1247000
2023-09,Papakura,834000
2023-09,Rodney,1100000
2023-09,Waitakere,900000
2023-10,AucklandCity,1150000
2023-10,Franklin,940000
2023-10,Manukau,980000
2023-10,NorthShore,1305000
2023-10,Papakura,845000
2023-10,Rodney,1130000
2023-10,Waitakere,880000
2023-11,AucklandCity,1236000
2023-11,Franklin,860000
2023-11,Manukau,1000000
2023-11,NorthShore,1250000
2023-11,Papakura,838000
2023-11,Rodney,1125000
2023-11,Waitakere,947500
2023-12,AucklandCity,1185000
2023-12,Franklin,860000
2023-12,Manukau,1020000
2023-12,NorthShore,1220000
2023-12,Papakura,830000
2023-12,Rodney,1130000
2023-12,Waitakere,923000
2024-01,AucklandCity,1030000
2024-01,Franklin,850000
2024-01,Manukau,960000
2024-01,NorthShore,1167000
2024-01,Papakura,857000
2024-01,Rodney,1070000
2024-01,Waitakere,855000
2024-02,AucklandCity,1151000
2024-02,Franklin,827000
2024-02,Manukau,958000
2024-02,NorthShore,1300000
2024-02,Papakura,815000
2024-02,Rodney,1137500
2024-02,Waitakere,905000
2024-03,AucklandCity,1250000
2024-03,Franklin,850000
2024-03,Manukau,980000
2024-03,NorthShore,1235000
2024-03,Papakura,808000
2024-03,Rodney,1190000
2024-03,Waitakere,890000
2024-04,AucklandCity,1195000
2024-04,Franklin,885000
2024-04,Manukau,1000000
2024-04,NorthShore,1230000
2024-04,Papakura,842000
2024-04,Rodney,1100000
2024-04,Waitakere,890000
2024-05,AucklandCity,1200000
2024-05,Franklin,800000
2024-05,Manukau,930000
2024-05,NorthShore,1205000
2024-05,Papakura,845000
2024-05,Rodney,1200000
2024-05,Waitakere,895000
2024-06,AucklandCity,1250000
2024-06,Franklin,860000
2024-06,Manukau,970000
2024-06,NorthShore,1200000
2024-06,Papakura,774000
2024-06,Rodney,1095000
2024-06,Waitakere,895000
2024-07,AucklandCity,1075000
2024-07,Franklin,800000
2024-07,Manukau,900000
2024-07,NorthShore,1210000
2024-07,Papakura,820000
2024-07,Rodney,1100000
2024-07,Waitakere,849000
2024-08,AucklandCity,1081000
2024-08,Franklin,795000
2024-08,Manukau,900000
2024-08,NorthShore,1145000
2024-08,Papakura,802000
2024-08,Rodney,1150000
2024-08,Waitakere,860000
2024-09,AucklandCity,1122000
2024-09,Franklin,840000
2024-09,Manukau,925750
2024-09,NorthShore,1125000
2024-09,Papakura,799000
2024-09,Rodney,1150000
2024-09,Waitakere,871500
2024-10,AucklandCity,1115000
2024-10,Franklin,820000
2024-10,Manukau,920000
2024-10,NorthShore,1220000
2024-10,Papakura,850000
2024-10,Rodney,1135000
2024-10,Waitakere,875000
2024-11,AucklandCity,1200000
2024-11,Franklin,835000
2024-11,Manukau,950000
2024-11,NorthShore,1192500
2024-11,Papakura,800001
2024-11,Rodney,1104000
2024-11,Waitakere,900000
2024-12,AucklandCity,1145500
2024-12,Franklin,885000
2024-12,Manukau,950000
2024-12,NorthShore,1215000
2024-12,Papakura,799000
2024-12,Rodney,1105000
2024-12,Waitakere,855000
2025-01,AucklandCity,985000
2025-01,Franklin,800000
2025-01,Manukau,878000
2025-01,NorthShore,1255000
2025-01,Papakura,830000
2025-01,Rodney,1100000
2025-01,Waitakere,840000
2025-02,AucklandCity,1100000
2025-02,Franklin,885000
2025-02,Manukau,920000
2025-02,NorthShore,1285000
2025-02,Papakura,752000
2025-02,Rodney,1125000
2025-02,Waitakere,880000
2025-03,AucklandCity,1173000
2025-03,Franklin,844000
2025-03,Manukau,950000
2025-03,NorthShore,1220000
2025-03,Papakura,750000
2025-03,Rodney,1200000
2025-03,Waitakere,905000
2025-04,AucklandCity,1139000
2025-04,Franklin,901000
2025-04,Manukau,948000
2025-04,NorthShore,1150000
2025-04,Papakura,807000
2025-04,Rodney,1095000
2025-04,Waitakere,875000
2025-05,AucklandCity,1175000
2025-05,Franklin,838000
2025-05,Manukau,899000
