Month,District,OCR,CGPI_Dwelling,Net_migration_monthly,weeklyrent,unemployment_rate,RealMortgageRate,log_Median_Price,log_sales_count,log_Consents
2019-09,NorthShore,1.0,769.04,238.33,573.0,4.3,2.7565,13.805460222110773,5.517452896464707,5.497168225293202
2019-09,Papakura,1.0,769.04,133.33,495.0,4.3,2.7565,13.418757390458131,4.897839799950911,4.04305126783455
2019-09,Rodney,1.0,769.04,141.67,511.0,4.3,2.7565,13.652991628466498,5.062595033026967,3.9318256327243257
2019-09,Waitakere,1.0,769.04,46.67,507.5,4.3,2.7565,13.541073712262515,5.545177444479562,5.0369526024136295
2019-10,AucklandCity,1.0,770.85,218.33,550.0,4.27,2.5563,13.816510058297357,6.400257445308821,5.703782474656201
2019-10,Franklin,1.0,770.85,100.0,500.0,4.27,2.5563,13.45166712454693,4.584967478670572,4.174387269895637
2019-10,Manukau,1.0,770.85,245.0,483.75,4.27,2.5563,13.610943392223,5.976350909297934,5.19295685089021
2019-10,NorthShore,1.0,770.85,238.33,573.0,4.27,2.5563,13.795307850646754,5.762051382780177,5.7745515455444085
2019-10,Papakura,1.0,770.85,133.33,495.0,4.27,2.5563,13.437174117244362,4.804021044733257,4.718498871295094
2019-10,Rodney,1.0,770.85,141.67,511.0,4.27,2.5563,13.716794585025117,5.198497031265826,4.477336814478207
2019-10,Waitakere,1.0,770.85,46.67,507.5,4.27,2.5563,13.602317337503232,5.736572297479192,5.655991810819852
2019-11,AucklandCity,1.0,773.28,218.33,550.0,4.23,2.3387,13.845069360205818,6.638567789166521,5.501258210544727
2019-11,Franklin,1.0,773.28,100.0,500.0,4.23,2.3387,13.473020249017498,4.634728988229636,4.060443010546419
2019-11,Manukau,1.0,773.28,245.0,483.75,4.23,2.3387,13.635187003832993,6.111467339502679,5.652489180268651
2019-11,NorthShore,1.0,773.28,238.33,573.0,4.23,2.3387,13.800396920154226,5.863631175598097,5.017279836814924
2019-11,Papakura,1.0,773.28,133.33,495.0,4.23,2.3387,13.437174117244362,4.919980925828125,5.049856007249537
2019-11,Rodney,1.0,773.28,141.67,511.0,4.23,2.3387,13.678544702891116,5.342334251964811,4.219507705176107
2019-11,Waitakere,1.0,773.28,46.67,507.5,4.23,2.3387,13.610943392223,5.940171252720432,5.056245805348308
2019-12,AucklandCity,1.0,775.7,218.33,550.0,4.2,2.1332,13.820498099475314,6.338594078203183,6.056784013228625
2019-12,Franklin,1.0,775.7,100.0,500.0,4.2,2.1332,13.45166712454693,4.418840607796598,4.127134385045092
2019-12,Manukau,1.0,775.7,245.0,483.75,4.2,2.1332,13.709038313453757,5.82600010738045,5.442417710521793
2019-12,NorthShore,1.0,775.7,238.33,573.0,4.2,2.1332,13.864300722133706,5.872117789475416,5.407171771460119
2019-12,Papakura,1.0,775.7,133.33,495.0,4.2,2.1332,13.428376406540833,4.6913478822291435,4.406719247264253
2019-12,Rodney,1.0,775.7,141.67,511.0,4.2,2.1332,13.698976741708323,5.017279836814924,3.8066624897703196
2019-12,Waitakere,1.0,775.7,46.67,507.5,4.2,2.1332,13.5985975564007,5.796057750765372,5.043425116919247
2020-01,AucklandCity,1.0,778.13,383.33,567.5,4.23,1.9059,13.742939865129438,5.863631175598097,4.990432586778736
2020-01,Franklin,1.0,778.13,133.33,511.0,4.23,1.9059,13.493926933836812,4.189654742026425,4.77912349311153
2020-01,Manukau,1.0,778.13,465.83,505.5,4.23,1.9059,13.664687668229691,5.407171771460119,5.476463551931511
2020-01,NorthShore,1.0,778.13,301.67,585.5,4.23,1.9059,13.911729415704817,5.313205979041787,5.236441962829949
2020-01,Papakura,1.0,778.13,216.67,518.0,4.23,1.9059,13.473020249017498,4.418840607796598,4.553876891600541
2020-01,Rodney,1.0,778.13,233.33,542.0,4.23,1.9059,13.731041401337825,5.075173815233827,3.9889840465642745
2020-01,Waitakere,1.0,778.13,135.0,517.5,4.23,1.9059,13.62918097977278,5.545177444479562,4.672828834461906
2020-02,AucklandCity,1.0,779.58,383.33,567.5,4.27,2.2778,13.815510557964274,6.424869023905388,5.480638923341991
2020-02,Franklin,1.0,779.58,133.33,511.0,4.27,2.2778,13.38472764187182,4.6443908991413725,3.9889840465642745
2020-02,Manukau,1.0,779.58,465.83,505.5,4.27,2.2778,13.652991628466498,5.976350909297934,5.8289456176102075
2020-02,NorthShore,1.0,779.58,301.67,585.5,4.27,2.2778,13.959610901938031,5.817111159963204,5.5093883366279774
2020-02,Papakura,1.0,779.58,216.67,518.0,4.27,2.2778,13.437174117244362,4.74493212836325,4.844187086458591
2020-02,Rodney,1.0,779.58,233.33,542.0,4.27,2.2778,13.687677186454389,5.278114659230517,4.465908118654584
2020-02,Waitakere,1.0,779.58,135.0,517.5,4.27,2.2778,13.62918097977278,5.648974238161206,4.897839799950911
2020-03,AucklandCity,0.25,781.03,383.33,567.5,4.3,2.4074,13.963930563082547,6.645090969505644,5.662960480135946
2020-03,Franklin,0.25,781.03,133.33,511.0,4.3,2.4074,13.473020249017498,4.663439094112067,4.174387269895637
2020-03,Manukau,0.25,781.03,465.83,505.5,4.3,2.4074,13.732128949025222,6.1675164908883415,5.62040086571715
2020-03,NorthShore,0.25,781.03,301.67,585.5,4.3,2.4074,13.933293593620657,6.089044875446846,5.602118820879701
2020-03,Papakura,0.25,781.03,216.67,518.0,4.3,2.4074,13.471610805514265,4.762173934797756,4.663439094112067
2020-03,Rodney,0.25,781.03,233.33,542.0,4.3,2.4074,13.710150042306449,5.459585514144159,4.290459441148391
