Month,Scenario,District,Net_migration_monthly,weeklyrent,Consents_forecast,sales_count_forecast,CPI,CGPI_Dwelling,OCR,2YearFixedRate,unemployment_rate
2026-02-01,Base,Manukau,174.22183421516755,580.6789587852495,271.54915457616386,439.762191164386,1351.7431192044478,1097.3062374764877,1.6158741016193583,4.915122168446694,6.269797054435368
2026-02-01,Base,NorthShore,174.22183421516755,580.6789587852495,182.48825913296955,300.65212528596186,1351.7431192044478,1097.3062374764877,1.6158741016193583,4.915122168446694,6.269797054435368
2026-02-01,Base,Papakura,174.22183421516755,580.6789587852495,61.8081108697062,74.03350514555443,1351.7431192044478,1097.3062374764877,1.6158741016193583,4.915122168446694,6.269797054435368
2026-02-01,Base,Rodney,174.22183421516755,580.6789587852495,62.10924661084979,181.2790431133653,1351.7431192044478,1097.3062374764877,1.6158741016193583,4.915122168446694,6.269797054435368
2026-02-01,Base,Waitakere,174.22183421516755,580.6789587852495,129.86478836814047,299.5424153587265,1351.7431192044478,1097.3062374764877,1.6158741016193583,4.915122168446694,6.269797054435368
2026-03-01,Base,AucklandCity,174.22183421516755,580.6789587852495,370.6054397487191,663.2296521411814,1356.680126132444,1097.6396613640115,1.3961248440587477,4.825541675139953,6.326866093057325
2026-03-01,Base,Franklin,174.22183421516755,580.6789587852495,117.92906792004077,103.2779046624623,1356.680126132444,1097.6396613640115,1.3961248440587477,4.825541675139953,6.326866093057325
2026-03-01,Base,Manukau,174.22183421516755,580.6789587852495,363.2537557537037,578.1895207541286,1356.680126132444,1097.6396613640115,1.3961248440587477,4.825541675139953,6.326866093057325
2026-03-01,Base,NorthShore,174.22183421516755,580.6789587852495,244.11619183448232,395.29070876359225,1356.680126132444,1097.6396613640115,1.3961248440587477,4.825541675139953,6.326866093057325
2026-03-01,Base,Papakura,174.22183421516755,580.6789587852495,82.68126794393967,97.33760136704312,1356.680126132444,1097.6396613640115,1.3961248440587477,4.825541675139953,6.326866093057325
2026-03-01,Base,Rodney,174.22183421516755,580.6789587852495,83.08409994366663,238.34164274778152,1356.680126132444,1097.6396613640115,1.3961248440587477,4.825541675139953,6.326866093057325
2026-03-01,Base,Waitakere,174.22183421516755,580.6789587852495,173.72129988221204,393.83168690155935,1356.680126132444,1097.6396613640115,1.3961248440587477,4.825541675139953,6.326866093057325
2026-04-01,Base,AucklandCity,174.22183421516755,580.6789587852495,277.56694418247207,569.4376733375327,1361.6864651928413,1097.9366210080682,1.1732799507984235,4.734945717202666,6.383462491232055
2026-04-01,Base,Franklin,174.22183421516755,580.6789587852495,88.3236118580638,88.67264837798466,1361.6864651928413,1097.9366210080682,1.1732799507984235,4.734945717202666,6.383462491232055
2026-04-01,Base,Manukau,174.22183421516755,580.6789587852495,272.0608607788524,496.4236661968308,1361.6864651928413,1097.9366210080682,1.1732799507984235,4.734945717202666,6.383462491232055
