Month,District,2YearFixedRate
2010-04,NorthShore,7.08
2010-04,Papakura,7.08
2010-04,Rodney,7.08
2010-04,Waitakere,7.08
2010-05,AucklandCity,7.18
2010-05,Franklin,7.18
2010-05,Manukau,7.18
2010-05,NorthShore,7.18
2010-05,Papakura,7.18
2010-05,Rodney,7.18
2010-05,Waitakere,7.18
2010-06,AucklandCity,7.13
2010-06,Franklin,7.13
2010-06,Manukau,7.13
2010-06,NorthShore,7.13
2010-06,Papakura,7.13
2010-06,Rodney,7.13
2010-06,Waitakere,7.13
2010-07,AucklandCity,6.94
2010-07,Franklin,6.94
2010-07,Manukau,6.94
2010-07,NorthShore,6.94
2010-07,Papakura,6.94
2010-07,Rodney,6.94
2010-07,Waitakere,6.94
2010-08,AucklandCity,6.79
2010-08,Franklin,6.79
2010-08,Manukau,6.79
2010-08,NorthShore,6.79
2010-08,Papakura,6.79
2010-08,Rodney,6.79
2010-08,Waitakere,6.79
2010-09,AucklandCity,6.73
2010-09,Franklin,6.73
2010-09,Manukau,6.73
2010-09,NorthShore,6.73
2010-09,Papakura,6.73
2010-09,Rodney,6.73
2010-09,Waitakere,6.73
2010-10,AucklandCity,6.73
2010-10,Franklin,6.73
2010-10,Manukau,6.73
2010-10,NorthShore,6.73
2010-10,Papakura,6.73
2010-10,Rodney,6.73
2010-10,Waitakere,6.73
2010-11,AucklandCity,6.68
2010-11,Franklin,6.68
2010-11,Manukau,6.68
2010-11,NorthShore,6.68
2010-11,Papakura,6.68
2010-11,Rodney,6.68
2010-11,Waitakere,6.68
2010-12,AucklandCity,6.66
2010-12,Franklin,6.66
2010-12,Manukau,6.66
2010-12,NorthShore,6.66
2010-12,Papakura,6.66
2010-12,Rodney,6.66
2010-12,Waitakere,6.66
2011-01,AucklandCity,6.66
2011-01,Franklin,6.66
2011-01,Manukau,6.66
2011-01,NorthShore,6.66
2011-01,Papakura,6.66
2011-01,Rodney,6.66
2011-01,Waitakere,6.66
2011-02,AucklandCity,6.59
2011-02,Franklin,6.59
2011-02,Manukau,6.59
2011-02,NorthShore,6.59
2011-02,Papakura,6.59
2011-02,Rodney,6.59
2011-02,Waitakere,6.59
2011-03,AucklandCity,6.44
2011-03,Franklin,6.44
2011-03,Manukau,6.44
2011-03,NorthShore,6.44
2011-03,Papakura,6.44
2011-03,Rodney,6.44
2011-03,Waitakere,6.44
2011-04,AucklandCity,6.44
2011-04,Franklin,6.44
2011-04,Manukau,6.44
2011-04,NorthShore,6.44
2011-04,Papakura,6.44
2011-04,Rodney,6.44
2011-04,Waitakere,6.44
2011-05,AucklandCity,6.42
2011-05,Franklin,6.42
2011-05,Manukau,6.42
2011-05,NorthShore,6.42
2011-05,Papakura,6.42
2011-05,Rodney,6.42
2011-05,Waitakere,6.42
2011-06,AucklandCity,6.42
2011-06,Franklin,6.42
2011-06,Manukau,6.42
2011-06,NorthShore,6.42
2011-06,Papakura,6.42
2011-06,Rodney,6.42
2011-06,Waitakere,6.42
2011-07,AucklandCity,6.41
2011-07,Franklin,6.41
2011-07,Manukau,6.41
2011-07,NorthShore,6.41
2011-07,Papakura,6.41
2011-07,Rodney,6.41
2011-07,Waitakere,6.41
2011-08,AucklandCity,6.41
2011-08,Franklin,6.41
2011-08,Manukau,6.41
2011-08,NorthShore,6.41
2011-08,Papakura,6.41
2011-08,Rodney,6.41
2011-08,Waitakere,6.41
2011-09,AucklandCity,6.34
2011-09,Franklin,6.34
2011-09,Manukau,6.34
2011-09,NorthShore,6.34
2011-09,Papakura,6.34
2011-09,Rodney,6.34
2011-09,Waitakere,6.34
2011-10,AucklandCity,6.21
2011-10,Franklin,6.21
2011-10,Manukau,6.21
2011-10,NorthShore,6.21
2011-10,Papakura,6.21
2011-10,Rodney,6.21
2011-10,Waitakere,6.21
2011-11,AucklandCity,5.96
2011-11,Franklin,5.96
2011-11,Manukau,5.96
2011-11,NorthShore,5.96
2011-11,Papakura,5.96
2011-11,Rodney,5.96
2011-11,Waitakere,5.96
2011-12,AucklandCity,5.94
2011-12,Franklin,5.94
2011-12,Manukau,5.94
2011-12,NorthShore,5.94
2011-12,Papakura,5.94
2011-12,Rodney,5.94
