,Median_Price,sales_count,sales_count_lag1,sales_count_lag3,sales_count_lag6,sales_count_lag9,sales_count_lag12,OCR,OCR_lag1,OCR_lag3,OCR_lag6,OCR_lag9,OCR_lag12,CGPI_Dwelling,CGPI_Dwelling_lag1,CGPI_Dwelling_lag3,CGPI_Dwelling_lag6,CGPI_Dwelling_lag9,CGPI_Dwelling_lag12,Consents,Consents_lag1,Consents_lag3,Consents_lag6,Consents_lag9,Consents_lag12,Net_migration_monthly,weeklyrent,unemployment_rate,unemployment_rate_lag1,unemployment_rate_lag3,unemployment_rate_lag6,unemployment_rate_lag9,unemployment_rate_lag12,RealMortgageRate,RealMortgageRate_lag1,RealMortgageRate_lag3,RealMortgageRate_lag6,RealMortgageRate_lag9,RealMortgageRate_lag12
OCR_lag6,-0.15457561095094868,-0.17001010617468224,-0.17647925712195026,-0.21024078456092982,-0.22583414044642997,-0.23027159874130598,-0.164566538848575,0.8920076646546244,0.9178068128532145,0.964040106688939,1.0,0.9577050005726399,0.8365316618640537,0.5779511917025217,0.6000023612397795,0.6435034172618801,0.7040399633404434,0.7876621447640968,0.8623425750374192,-0.15840558308681787,-0.12756777952761164,-0.0797437308840904,-0.009839203720592793,0.06556565229271301,0.1529165936350356,0.4232041891448727,0.3613326968123756,-0.497705106567036,-0.5539560944761039,-0.6492932293538992,-0.7642420955118352,-0.8382646840499297,-0.8511711446093947,0.4786713910425171,0.3936720058335933,0.20444077386720672,-0.06467706123677017,-0.3250837976695086,-0.574794146055683
OCR_lag9,-0.2286800520910386,-0.1252653262103718,-0.13131778334937072,-0.18571591679009014,-0.24904013903227215,-0.24537473892480022,-0.20138513917831316,0.758435895100818,0.7985940498134781,0.8773818585792876,0.9577050005726399,1.0,0.9344843860345334,0.4188208427675172,0.44357003003575335,0.4930742550776742,0.5653574783718833,0.6295273352810467,0.7274197202260775,-0.19272619351630513,-0.16135802987718076,-0.12638542455395088,-0.06585303454097037,0.0051898507171021695,0.10019827664939458,0.4637804419781912,0.2281561162386933,-0.341086226332853,-0.4058806587984643,-0.5207083567007346,-0.6590321931302922,-0.7711696094606606,-0.8458619750737066,0.6470719745512789,0.5715596257525026,0.4002651067929454,0.1443206588382365,-0.10226900226102538,-0.3713664473990774
OCR_lag12,-0.282887260823592,-0.07412635323672763,-0.09118174154578305,-0.12973239278134618,-0.21814572301138688,-0.27899017213383903,-0.2232731623688191,0.5462599787460786,0.5940392151373514,0.6974979469155589,0.8365316618640537,0.9344843860345334,1.0,0.19809308091181366,0.22383824463822952,0.2790232352994313,0.3613396094387576,0.43830277388432193,0.5059187210070069,-0.23421324320931175,-0.20263154584648646,-0.16615564769767813,-0.12066646111331351,-0.06190900967946871,0.022910608691200967,0.4370216881187852,0.07406390259794626,-0.12260503239332857,-0.19744113281272854,-0.330914088955739,-0.5023973609673547,-0.6417632907351432,-0.7641670510782702,0.806985298830811,0.753818278289537,0.6049787463179833,0.37412283473722907,0.14674382551000653,-0.09562636504578638
CGPI_Dwelling,0.3860937260041288,-0.10662645633198779,-0.09586898611643041,-0.08353989204705775,-0.05022275431242729,-0.0030330750615986083,0.06844078494233533,0.7862109835666978,0.7589236483883905,0.6962651856842654,0.5779511917025217,0.4188208427675172,0.19809308091181366,1.0,0.9994703795975791,0.9953437180868959,0.9816502102187689,0.9595951967110655,0.9306768710798358,0.09813627271160323,0.12115682487298234,0.15417301261556862,0.19759581011165986,0.23366641848960173,0.2647867735487786,0.028468607109766498,0.792474540008359,-0.7343820239391708,-0.7275374591094227,-0.69673091053461,-0.6146731834653406,-0.49878911412871624,-0.3558305293706479,-0.47215120014120443,-0.5413068017622609,-0.6719553713338375,-0.8126367643435636,-0.8954998594962792,-0.9345332832998566
CGPI_Dwelling_lag1,0.3621210037163801,-0.11641434506266407,-0.10115089828490184,-0.09177122428343586,-0.0611478044304754,-0.012096194264321434,0.06044624866978768,0.8092500900594848,0.7760174842290958,0.7155009415223929,0.6000023612397795,0.44357003003575335,0.22383824463822952,0.9994703795975791,1.0,0.997866579165623,0.9869647182270004,0.9673998020206582,0.9404520714292095,0.09032854891528677,0.11522045795102306,0.1490328077650047,0.19315893539718537,0.2312700742333132,0.2654138142353514,0.052969826846235316,0.7856899374256215,-0.7470445379355022,-0.7378887655980729,-0.712834113011004,-0.6368208419088714,-0.5242914958668429,-0.38100642744237195,-0.43561929589573206,-0.5179842438632637,-0.6534226523381735,-0.8011333202394543,-0.8916200560979429,-0.9374077177943282
CGPI_Dwelling_lag3,0.3131314409607615,-0.1323538708937234,-0.12185211625148783,-0.10414790151160142,-0.08313892031914796,-0.034439308914435876,0.04202411770691435,0.8526159031599954,0.8228407678764318,0.7522042241131951,0.6435034172618801,0.4930742550776742,0.2790232352994313,0.9953437180868959,0.997866579165623,1.0,0.9950802791265256,0.9809918145814621,0.9585637971020639,0.057177342046460376,0.08957884341469231,0.1384243960008052,0.18303558106603918,0.22351996552022377,0.26314320481253356,0.10417108830664355,0.7711545977574465,-0.7679498819075844,-0.7644335186420684,-0.7382455114230584,-0.6776961322283073,-0.5740360292393525,-0.4345337049770364,-0.3560105884821759,-0.4445295168622503,-0.6104434995816008,-0.773222832643447,-0.8779755799300565,-0.9390511779409749
CGPI_Dwelling_lag6,0.2334473301521911,-0.16959272209278622,-0.153606441414779,-0.13184115949892972,-0.10601265024868713,-0.06929955202661901,0.011546463433597073,0.9095899358621583,0.8857085465957156,0.8264240644137262,0.7040399633404434,0.5653574783718833,0.3613396094387576,0.9816502102187689,0.9869647182270004,0.9950802791265256,1.0,0.9949666048733276,0.9807125772527755,0.016130566967458338,0.04496221803753908,0.09998290416547327,0.16879160891873357,0.210657918836939,0.2556180629520851,0.16887836570696235,0.7481162881550549,-0.7676182697878148,-0.7786420818593975,-0.7789513863535993,-0.72450925579154,-0.6427591069971742,-0.5152248418815258,-0.2133466152622702,-0.31383993369936725,-0.5049176687461262,-0.7181706864657335,-0.8458527172302103,-0.9291844121947439
CGPI_Dwelling_lag9,0.1518475120900946,-0.17813986570377904,-0.17089901748285907,-0.17123946148963762,-0.136903655122157,-0.09382127044729725,-0.022568166861621754,0.9511219927904777,0.9366476191490329,0.8909501141550769,0.7876621447640968,0.6295273352810467,0.43830277388432193,0.9595951967110655,0.9673998020206582,0.9809918145814621,0.9949666048733276,1.0,0.9948277274622593,-0.017852351618692974,0.005777715517501808,0.06237490186331944,0.13272436210962274,0.19891070486008453,0.24619105951756662,0.2217869909902993,0.7208069928179764,-0.7410190930340106,-0.762073136754559,-0.7862172637091446,-0.7732291470270629,-0.6953013575927771,-0.5900109656868333,-0.06388569871661628,-0.16873823301933388,-0.3765713907036614,-0.6272872316473104,-0.7996803919031525,-0.9069963101970406
CGPI_Dwelling_lag12,0.07350364532923885,-0.18050710751449525,-0.1740902952438732,-0.18160269011724367,-0.18003423824391362,-0.12726620730587954,-0.04614804511986815,0.970702658425849,0.966404426715837,0.940077655809418,0.8623425750374192,0.7274197202260775,0.5059187210070069,0.9306768710798358,0.9404520714292095,0.9585637971020639,0.9807125772527755,0.9948277274622593,1.0,-0.04520227545713598,-0.015188195756202946,0.03185390433691767,0.0976608578602013,0.16588209034023185,0.23815614073854452,0.2631005327803541,0.6843845204953105,-0.6944165338326844,-0.7252063654099408,-0.7667429459727503,-0.787775796463223,-0.7532287295866332,-0.6491592416557619,0.09273564554331738,-0.016359036227671896,-0.2396856556573476,-0.5163361843252074,-0.7231944133209182,-0.8708034863629655
Consents,0.501744895469035,0.710226801158928,0.6716207428535272,0.6805404151125768,0.6833458739708141,0.7489359358335321,0.7732477301058468,-0.061682798849686735,-0.07767043417196944,-0.11347538622329294,-0.15840558308681787,-0.19272619351630513,-0.23421324320931175,0.09813627271160323,0.09032854891528677,0.057177342046460376,0.016130566967458338,-0.017852351618692974,-0.04520227545713598,1.0,0.742611622435799,0.7137939692305098,0.7352128840938376,0.6710518032313375,0.6949775451211079,-0.265718234533901,0.21045700420426586,-0.02613647599367725,-0.0060160976024204805,0.034782986811211836,0.09184876551710654,0.14609374412301263,0.1853907331366859,-0.254516580557434,-0.2521401330909395,-0.21107722028203613,-0.1620608747860024,-0.10996428312603426,-0.04222185682370031
